,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",162498.5225051507,22223429.66404384,30930.750258136984,4751347.464731507,2320789.3563843835,13963213.635128766,1188092.9689403288,0,0
1,"(0, 15)",156170.43401057535,21521613.178643838,29408.513709917806,4524083.538336987,2271175.624638411,13572376.225145752,1154004.768058137,0,15
2,"(0, 30)",157991.26323742466,21715582.74942192,29057.363374712328,4478117.71130411,2313775.1617798903,13747476.596230684,1176243.3676979726,0,30
3,"(0, 45)",157769.65270572604,21650226.631613698,28695.717157397263,4420541.026857534,2322335.0064705755,13730073.688758085,1177306.8477367945,0,45
4,"(1, 0)",158513.4344260548,21713356.144147947,28500.37248967123,4381073.007726028,2344712.7577470136,13801054.458681917,1186545.712406082,1,0
5,"(1, 15)",153935.27616328766,21305327.649761643,26972.40771956164,4275274.938383562,2316905.439730767,13549825.52376219,1163310.357257123,1,15
6,"(1, 30)",155768.2672379452,21498025.99691507,26871.91008180822,4249884.482005479,2350344.2183473697,13715410.521521367,1182375.753064521,1,30
7,"(1, 45)",156295.8410327123,21545268.062742464,26734.164733753423,4229554.557210959,2366977.125510082,13760334.83736822,1188390.512464356,1,45
8,"(2, 0)",157232.30234432878,21652956.430131502,26606.27245950685,4211972.038591781,2387929.4741188493,13854120.452046849,1198921.9291860822,2,0
9,"(2, 15)",160181.65073131508,21750232.2250137,26320.02517619178,4201014.646994521,2423503.3974899724,13921681.158296164,1204025.5199481645,2,15
10,"(2, 30)",160870.13509635616,21880110.38349041,26340.87232460274,4179231.764983562,2442866.3210916165,14041292.690429045,1216711.824532274,2,30
11,"(2, 45)",162514.67608569862,22042513.69870959,26366.72063936986,4188481.8728219178,2469437.187081836,14156328.23895315,1228258.3058355069,2,45
12,"(3, 0)",163419.94618032876,22163646.35148767,26414.769383150688,4184814.530643836,2485705.3102827123,14254503.62336,1238614.7268169315,3,0
13,"(3, 15)",167045.99366884932,22563485.59919726,26777.546650876717,4229689.567468493,2536588.4918258083,14534973.340499451,1262227.2169813972,3,15
14,"(3, 30)",167497.9568158904,22647056.858142465,26849.68245443836,4220642.940536986,2549288.17144337,14607715.217461918,1269404.817836548,3,30
15,"(3, 45)",169460.9131751507,22872733.867241096,27037.33531668493,4248694.5242,2577520.328110137,14762441.40952548,1284072.303460082,3,45
16,"(4, 0)",170659.686454137,23008760.21530959,27180.709381123284,4261267.618843836,2592833.853913315,14859896.74376274,1294755.131412082,4,0
17,"(4, 15)",176205.1776218356,23762892.03641644,28082.8172269589,4400887.930482192,2677398.331147753,15342737.403219728,1341866.3679098904,4,15
18,"(4, 30)",176734.87598972602,23824084.95981096,28242.806122767124,4408641.117424658,2678841.8147634794,15391010.481016438,1345588.9284253973,4,30
19,"(4, 45)",179302.2981867945,24157043.801052056,28400.79163326028,4473731.473515068,2713035.7869367944,15604445.297593974,1365828.1197665753,4,45
20,"(5, 0)",180608.7892190959,24373499.747136988,28154.19147879452,4520114.106241096,2729397.8168005752,15745468.822086848,1378514.8423099725,5,0
21,"(5, 15)",187161.6208646027,25418077.74398082,29636.64623300822,4814461.073849315,2820014.15718726,16342587.22732822,1440975.3403021095,5,15
22,"(5, 30)",187102.3453795616,25524367.185323287,29322.3634955863,4858416.221778083,2814961.396317918,16406885.860846572,1444064.6863919178,5,30
23,"(5, 45)",188740.67480024655,25928887.346663013,28769.91737710521,4981869.917991781,2840551.4191630683,16641540.931326028,1464886.500632548,5,45
24,"(6, 0)",187857.55094641092,26159861.2291863,27179.43636891384,5053290.172498629,2844368.3134984933,16785179.00011233,1476986.4471864384,6,0
25,"(6, 15)",193029.2980910411,27206031.331,27642.64560070192,5456933.342567124,2916238.390274246,17303186.606731508,1529677.668027041,6,15
