,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",0.0,987109.726798904,0.0,229977.90394556164,78361.20706103453,425745.70131150685,253021.48641244107,0,0
1,"(0, 15)",0.0,947765.0943931506,0.0,216681.5460599726,76441.92357706383,409699.82054824656,244946.43989983835,0,15
2,"(0, 30)",0.0,959722.5461942464,0.0,214620.5155996164,78110.61581244602,416091.3883852602,250904.5115052274,0,30
3,"(0, 45)",0.0,956260.6748547946,0.0,211423.5961538904,78402.47288154603,415410.71018304105,251028.4878267123,0,45
4,"(1, 0)",0.0,959240.52624,0.0,209371.60481438355,79262.35554784356,417459.7231269041,253151.5800114493,1,0
5,"(1, 15)",0.0,929249.5984539726,0.0,201780.49838057536,77610.87665340192,404267.0033634795,245595.45911822465,1,15
6,"(1, 30)",0.0,941733.7175326028,0.0,201452.2171550959,79178.57479032138,410812.02359501366,250295.4629097507,1,30
7,"(1, 45)",0.0,943099.7702128766,0.0,200228.54738567123,79680.02266403343,411786.3296046576,251409.5305954137,1,45
8,"(2, 0)",0.0,948806.723310411,0.0,199602.2738613425,80481.14738099165,415000.68650057534,253727.29143172328,2,0
9,"(2, 15)",0.0,940049.6392454794,0.0,197405.74489860277,81113.59094481506,410678.6089848493,250845.0460798219,2,15
10,"(2, 30)",0.0,949863.4038517808,0.0,197454.765484137,81819.48112076713,416352.03089287673,254230.13404295617,2,30
11,"(2, 45)",0.0,955628.512238082,0.0,197758.93112479453,82640.56062603726,418892.9918037808,256329.01724001643,2,45
12,"(3, 0)",0.0,961972.806026274,0.0,197974.45558860272,83253.21309913178,422241.1122756712,258496.9649281096,3,0
13,"(3, 15)",0.0,973186.1541673972,0.0,200591.31337375345,83536.26256938958,427777.6827047123,261279.00103900547,3,15
14,"(3, 30)",0.0,978805.6662473972,0.0,199850.44687213696,84233.22577640219,430423.44417,264296.5664604384,3,30
15,"(3, 45)",0.0,987905.551781644,0.0,201696.09482934247,84920.2557197378,434818.8185747945,266468.64255784656,3,45
16,"(4, 0)",0.0,993463.0049465752,0.0,202532.9938080822,85517.53168661479,437116.4889294794,268294.21668702195,4,0
17,"(4, 15)",0.0,1015564.4659273973,0.0,206048.45218720543,85675.03551559726,449655.262189863,274182.8604389014,4,15
18,"(4, 30)",0.0,1019636.172839726,0.0,206416.16893112328,86556.72633484466,450834.2871457808,275826.0848509808,4,30
19,"(4, 45)",0.0,1029793.0101364384,0.0,208759.4213256164,87158.2005063548,455697.973482137,278174.6531275315,4,45
20,"(5, 0)",0.0,1035734.2686846576,0.0,210347.38217980825,87671.13988521177,457931.4410754246,279781.5374249315,5,0
21,"(5, 15)",0.0,1076700.5636947944,0.0,217840.50515465756,91032.66296118466,473033.7006066301,294789.86207720824,5,15
22,"(5, 30)",0.0,1080122.1840452056,0.0,220093.95281660277,91004.39633245752,475250.804070274,293769.11588524387,5,30
23,"(5, 45)",0.0,1094977.7657315067,0.0,224611.9052370411,91597.57169345836,481438.21150326025,297326.1523496767,5,45
24,"(6, 0)",0.0,1103560.2832928768,0.0,228089.14539347944,91702.34114142464,485254.7527752055,298510.10009649314,6,0
25,"(6, 15)",0.0,1145348.8297443837,0.0,240241.2113519452,95975.02898399178,502115.18048964377,307010.2186146986,6,15
26,"(6, 30)",0.0,1148102.367688493,0.0,243409.8226967945,94828.3595974444,503097.09377772606,306760.2246094822,6,30
27,"(6, 45)",0.0,1161201.7221920548,0.0,248888.78779898628,95199.50157194794,508044.8890546027,309061.4107612767,6,45
28,"(7, 0)",0.0,1165112.7098487671,0.0,251649.59147465756,94765.31304046848,509433.8298661096,309256.920259411,7,0
29,"(7, 15)",0.0,1199426.8522542466,0.0,266491.0888526028,97733.4059806674,523210.68097452057,311994.64872758905,7,15
30,"(7, 30)",0.0,1194708.8465635616,0.0,266754.3602216439,96297.03656671233,520179.670756,311481.11055271234,7,30
31,"(7, 45)",0.0,1198107.7784663015,0.0,270428.9006684932,95855.69588140272,520621.952407589,311204.80670857534,7,45
32,"(8, 0)",0.0,1193782.0951358904,0.0,270383.65467698633,94670.34620775616,518732.9145067945,309998.2607042466,8,0
33,"(8, 15)",0.0,1218716.0455375344,0.0,280036.1909153425,95531.52115411508,529825.7397168219,313317.3648874246,8,15
34,"(8, 30)",0.0,1202972.9682052056,0.0,278230.7068531507,93810.09337195069,521957.84681068495,308969.1280282466,8,30
35,"(8, 45)",0.0,1198576.9508446576,0.0,279259.0293041096,92819.06959536164,519330.4941548219,307163.2407827397,8,45
36,"(9, 0)",0.0,1185588.3584367123,0.0,277556.01177205483,91201.26226696713,513181.8848289315,303643.7958853151,9,0
37,"(9, 15)",0.0,1203050.584250411,0.0,281514.2939435616,90967.95356896165,521701.518577863,308864.44392769865,9,15
38,"(9, 30)",0.0,1181143.0548767122,0.0,279819.1188019178,88918.37079462466,511496.1554006027,300907.2514027397,9,30
39,"(9, 45)",0.0,1170841.7036131506,0.0,279272.15347068495,87505.64091780274,506234.54326457536,297827.2757465479,9,45
40,"(10, 0)",0.0,1153469.5539326028,0.0,277502.3913627397,85762.23117938192,497838.50227295887,292364.3619035342,10,0
41,"(10, 15)",0.0,1163274.403059178,0.0,279789.6464808219,85616.9199142411,501456.9658251781,296417.1549251507,10,15
42,"(10, 30)",0.0,1138822.947187945,0.0,277065.1903167123,83084.21465539753,490764.8121283836,287914.8037415068,10,30
43,"(10, 45)",0.0,1124551.4531216435,0.0,275654.3181167123,81851.09499633973,483757.62992438354,283294.432664274,10,45
44,"(11, 0)",0.0,1103945.4622432876,0.0,273480.88181424653,80119.45302316821,473900.51399153424,276450.30192128767,11,0
45,"(11, 15)",0.0,1108007.393180548,0.0,272845.4424753425,79632.23907181644,476221.72511824657,279311.55528235616,11,15
46,"(11, 30)",0.0,1080362.990570959,0.0,269553.7204493151,77699.49699153562,462615.95055649313,270497.72604608216,11,30
47,"(11, 45)",0.0,1064533.571260274,0.0,267444.7500386301,76235.14362886603,455331.1660008767,265526.59569268493,11,45
48,"(12, 0)",0.0,1043588.0159279451,0.0,264786.2709230137,74554.14976422548,445166.9722223562,259084.00317772603,12,0
49,"(12, 15)",0.0,1057372.404918082,0.0,265526.86743561644,75449.59099519617,452047.7905098082,264349.826342,12,15
50,"(12, 30)",0.0,1028737.3432479452,0.0,261872.1664761644,73763.10334036521,438328.9049026575,254774.82766076716,12,30
51,"(12, 45)",0.0,1014845.0442542466,0.0,259674.52835287672,72588.75251807233,431796.5381881096,250787.1688288493,12,45
52,"(13, 0)",0.0,994107.7005369862,0.0,256422.1383506849,71019.12208681917,421955.8626056164,244712.79311164384,13,0
53,"(13, 15)",0.0,1001437.3517065754,0.0,256261.20945753428,72755.72903855698,423203.698737452,249218.58221241095,13,15
54,"(13, 30)",0.0,977725.0862120548,0.0,252448.2629441096,71268.16073549945,412191.19311079447,241819.36673750685,13,30
55,"(13, 45)",0.0,964501.8413136988,0.0,250354.70002739728,70312.23864428439,405987.2473493151,237849.8130279178,13,45
