,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",312794.8350041096,4124329.069852055,177044.57920438357,2425497.8806356164,1839.9250908326023,1622516.1552545205,74489.75746139725,0,0
1,"(0, 15)",292172.5842068493,3838040.5178547935,157257.9718279452,2160364.329523288,1868.157890470137,1602361.4604873974,73445.06805454794,0,15
2,"(0, 30)",287859.4214276712,3781099.423832877,153047.28631726027,2103334.8405972603,1897.9014915939729,1601658.1727564384,74207.2525489315,0,30
3,"(0, 45)",282013.1207482192,3695682.968632877,147405.765732,2025990.9544328768,1898.8094111660275,1593729.819397534,74062.55524520548,0,45
4,"(1, 0)",276592.7006520548,3623468.922720548,143106.9113659726,1970162.742430137,1906.263878142767,1577689.7508868491,73707.18132660273,1,0
5,"(1, 15)",258092.63839780824,3376672.439567123,127612.57570868492,1765826.1167753425,1852.9417803243011,1537308.5252876712,71683.11556473972,1,15
6,"(1, 30)",253475.3703838356,3310785.3500493146,124167.41492643836,1718804.1539863015,1843.4395367320544,1518913.7447690412,71223.13550657535,1,30
7,"(1, 45)",247152.1193249315,3228053.421991781,119935.00396260274,1663240.812139726,1841.745984797452,1492265.539327945,70705.30716646575,1,45
8,"(2, 0)",241850.69754849316,3160085.442416439,116799.45444671232,1622693.4704767123,1820.757877997096,1465524.8569512328,70046.74409931507,2,0
9,"(2, 15)",226935.3438638356,2981691.4901671237,108317.21102794522,1513757.3487123286,1462.8415908171237,1399924.003349589,66556.63939052055,2,15
10,"(2, 30)",223414.27675780823,2936145.9172438355,105865.13168654796,1482825.7493731503,1482.6359875277258,1385202.7167967125,66644.94030536986,2,30
11,"(2, 45)",219900.7492827397,2890299.3847452058,103667.07365079453,1452960.8617769864,1486.267471423452,1369868.9702339729,65992.70467816439,2,45
12,"(3, 0)",217725.211230137,2859727.12520548,101847.85843964384,1428303.414281644,1476.1730387488435,1363639.8959249316,66317.88064860275,3,0
13,"(3, 15)",208289.10616328765,2757511.3426,98068.53894956164,1389173.937473151,1501.3879292269314,1303289.9845723289,63559.151433972605,3,15
14,"(3, 30)",206888.10517178083,2742865.12970137,96769.9571590685,1370172.0806476711,1479.94877883263,1307173.732110137,64052.39906556164,3,30
15,"(3, 45)",206539.1457920548,2738416.8474876718,95723.76411232878,1356958.2238002738,1515.504037389863,1315312.0283421918,64644.11864316438,3,45
16,"(4, 0)",207204.36817041095,2743609.5726465755,94781.52023358904,1343762.3416326027,1539.2318450146493,1332749.239868767,65572.90968596164,4,0
17,"(4, 15)",203256.56175671236,2716509.2983068493,93769.0112580274,1329425.7358249314,1596.8357460252057,1319818.1708756164,65665.32229384109,4,15
18,"(4, 30)",203184.156820274,2715027.247550685,92882.05749821918,1315935.4535654795,1602.3649179550218,1331323.3834567124,66162.49380757535,4,30
19,"(4, 45)",205535.85110328768,2743900.9054027395,92621.60346857534,1312064.609209863,1629.7663976374768,1362536.2790350686,67667.35399419178,4,45
20,"(5, 0)",207390.29979589043,2766891.456641096,92078.1440601096,1304526.8671383562,1658.8717332610083,1391684.9150175345,69016.42665029042,5,0
21,"(5, 15)",212742.94495917807,2869802.9482739726,93330.57899526026,1324831.668059726,1698.4010355535067,1471195.120371233,72058.15750940549,5,15
22,"(5, 30)",212680.9601049315,2860558.057882192,92451.34092142463,1311520.266209315,1736.318440366403,1475139.4388035615,72141.51969038356,5,30
23,"(5, 45)",217826.0078,2932753.540484932,92784.04020975342,1317512.7911827397,1756.7050261437807,1538398.236813699,75064.89768961917,5,45
24,"(6, 0)",220785.6413419178,2970065.137572603,92575.75646057536,1314912.27558274,1787.8540556793698,1576661.3810849313,76683.7159760822,6,0
25,"(6, 15)",233568.1704161644,3126437.7176273973,94946.28474830138,1351128.3411756165,1770.5372879438985,1693484.3500547945,80050.89692833973,6,15
26,"(6, 30)",233629.3144235616,3136925.840046576,94436.63677923288,1345463.424753151,1811.3938636844928,1708392.0694221917,81255.20404268493,6,30
27,"(6, 45)",240629.4037830137,3227583.175268493,95220.99863547948,1356452.6310079452,1838.4788351935613,1784890.1687356166,84397.39921793425,6,45
28,"(7, 0)",244733.81135452056,3284523.0606,95231.6404569589,1359776.0483265752,1891.98387782474,1836568.680498356,86282.51654041096,7,0
29,"(7, 15)",266989.67194958904,3561244.324219178,101614.3247348767,1435863.529920548,1926.528371093726,2031643.8561726029,91810.85055803288,7,15
30,"(7, 30)",269463.83368630137,3596627.836482192,101356.60048726028,1437681.8078054795,1961.7259054304932,2063094.054330685,93890.9306839452,7,30
31,"(7, 45)",279620.9476378082,3732033.914734247,102845.94768383562,1460129.303660274,2049.094404451918,2172214.1343936985,97642.2502740274,7,45
32,"(8, 0)",285878.55163397256,3830606.088304109,102111.7281761096,1474363.5848657533,2082.3726706703287,2253346.477849041,100814.7007482466,8,0
33,"(8, 15)",307627.8500613699,4157314.992578082,107445.6985901096,1594379.028739726,2162.052821048959,2452672.1531463014,108084.8763529589,8,15
34,"(8, 30)",308842.23430767126,4213275.336287671,105067.21580041097,1605993.674671233,2203.84842282863,2495823.307083013,109237.5397540822,8,30
35,"(8, 45)",313965.95036630135,4350109.220753425,102326.80419578085,1646836.0273808218,2237.74667955137,2588593.3126484933,112424.72146975344,8,45
36,"(9, 0)",312481.1285678904,4427350.4218958905,95497.89833334248,1665229.135,2270.3023040041094,2645358.5562731507,114476.04542923288,9,0
37,"(9, 15)",321900.5944016712,4713863.292260274,94620.44340580385,1808684.420449315,2358.7570014336984,2781863.15949589,120954.9117640548,9,15
38,"(9, 30)",309009.121785863,4694792.687082192,82636.45617093261,1816377.9556054797,2299.345426732438,2756852.420853425,119262.59184471233,9,30
39,"(9, 45)",298362.3549459452,4751217.236684931,70056.83460627726,1853579.188589041,2286.0308929301373,2775531.5203742464,119818.11828854796,9,45
40,"(10, 0)",278040.00942923286,4730112.788682192,51675.613338581454,1862097.5221835617,2283.3724577338903,2747757.199350685,117973.15550476711,10,0
41,"(10, 15)",271599.59456155065,4938412.521717808,39829.16249062712,2005289.935649315,2636.7534241257536,2809580.3224030137,120900.05417153426,10,15
42,"(10, 30)",238364.3751872504,4810477.189846575,16000.586496092055,2001576.5925178083,2380.7692881953426,2690544.478317534,115971.12613649316,10,30
43,"(10, 45)",210287.90960016084,4765474.9988,-6524.1093538219175,2024298.7014136987,2420.663119246575,2625853.659351233,112897.91049446576,10,45
44,"(11, 0)",176738.03446098822,4664869.504706849,-31872.642550815617,2027913.2557945205,2311.0358148534247,2525835.149265205,108805.77014115069,11,0
45,"(11, 15)",162276.61879267092,4813235.030369863,-49620.445770323015,2148119.800668493,2842.153607727534,2554131.7272663014,108128.87934610958,11,15
46,"(11, 30)",121992.80713293124,4658462.70519452,-77247.96979266191,2152228.85950137,2593.1099046408767,2401465.4980750685,102162.61177178082,11,30
47,"(11, 45)",93512.56890355809,4597481.502208219,-99019.58777449589,2178259.942109589,2606.016360645205,2317837.62254411,98764.84462446574,11,45
48,"(12, 0)",61790.67417481562,4496091.592616439,-121639.49550744989,2193294.0948328767,2398.284165144932,2206158.5021153423,94227.24742726028,12,0
49,"(12, 15)",44600.7807025063,4575740.723841095,-139773.57066238354,2264168.536238356,2276.739395538137,2215494.5655646576,93797.0288558356,12,15
50,"(12, 30)",12130.958149726028,4457358.445775342,-161639.3650073178,2284088.7634246573,2165.4688927950683,2082426.888652603,88672.44628873972,12,30
51,"(12, 45)",-9473.067698051782,4417536.784227397,-177658.23670537534,2317077.6730821915,2041.334316600548,2012977.2019526027,85435.27047863013,12,45
52,"(13, 0)",-32234.14684843288,4355249.939380822,-193180.10431698084,2347412.9415616435,1957.5543357504112,1924257.3784,81617.29423408219,13,0
53,"(13, 15)",-48085.77831644329,4396914.654747945,-209215.87874920547,2382465.458180822,1865.5618625663012,1930401.904800274,82179.71406093151,13,15
54,"(13, 30)",-69703.32730864192,4314481.118060274,-222520.362289463,2412324.5153863016,1783.1140155631233,1823051.874859452,77319.48170852054,13,30
55,"(13, 45)",-82888.47088833699,4300554.494057534,-231020.4185916436,2448486.129367124,1696.5080135021371,1775397.2092260274,74972.13358312329,13,45
56,"(14, 0)",-94617.68045639175,4271218.994619178,-237643.64046106848,2485443.8210191783,1648.1734465441643,1712643.9693898628,71479.67178084933,14,0
