,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",84130.58051189041,2958005.93520822,28545.189281945208,1129254.537018356,22711.31096555452,1677844.626784383,128199.77351934246,0,0
1,"(0, 15)",79609.99309712328,2818791.395204657,25301.40256046575,1016189.7351972604,22407.80530757808,1652565.6953679451,127626.01655580822,0,15
2,"(0, 30)",79876.20814638356,2825628.498212603,24864.665877342464,999406.1135958903,23209.602507718904,1673915.084930137,129094.31946564384,0,30
3,"(0, 45)",79500.17584936986,2809319.997157534,24197.36474687672,974032.7808671232,23688.731892178355,1681838.2188213698,129756.8624119452,0,45
4,"(1, 0)",79383.07210876713,2801014.2144372603,23727.44881838356,956243.7987923288,24299.78976856329,1690512.034421096,129955.39604043835,1,0
5,"(1, 15)",74931.44012027397,2660568.6657383563,21460.49754320548,879392.6863917809,24690.314755529314,1629090.662831507,127394.10764813698,1,15
6,"(1, 30)",75426.77499712328,2670477.071959452,21142.02958761644,866463.9291334247,25316.102509532328,1650210.644861918,128485.5008669041,1,30
7,"(1, 45)",75099.92374931507,2655802.157323013,20711.427774849315,849596.9381852056,25806.083963153706,1651759.0200660275,128639.44125764383,1,45
8,"(2, 0)",75264.04314394521,2654817.012486575,20489.13624739726,837896.9905317808,26282.380326967672,1661143.8191301369,129493.10710665752,2,0
9,"(2, 15)",72029.80942068493,2526066.567064932,19387.021551397254,793293.7063183562,25508.096201003013,1583013.3616624658,124255.62289134246,2,15
10,"(2, 30)",72585.50908775342,2551959.183549863,19270.92868649315,787833.7813328768,26319.11568664493,1611987.8559646574,125823.51816594794,2,30
11,"(2, 45)",72950.94866572603,2556555.439180548,19133.010861780826,780611.1684682191,26703.54283708115,1622928.3468482192,126317.5308218082,2,45
12,"(3, 0)",73581.98524421918,2574111.252412603,19051.580543364384,776167.9907301371,27240.53119497148,1643274.240720822,127433.79423427946,3,0
