,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",33492.308759452055,4546818.67270685,26608.514658575343,3687406.651323288,495.1904233752959,803820.2912123288,55094.09688657535,0,0
1,"(0, 15)",31874.19211679452,4374698.678624657,25303.652720356167,3545482.63949589,451.714684324,775085.6554832876,53680.202078745206,0,15
2,"(0, 30)",31292.16219857534,4306436.050980822,24808.325639369865,3477336.657063014,474.861190113863,775035.869990411,53590.019223002746,0,30
3,"(0, 45)",30817.51369879452,4242148.9065041095,24386.50289986301,3418107.209520548,475.2585750466164,770265.6910167122,53301.79713711781,0,45
4,"(1, 0)",30477.40818830137,4189704.824843836,24047.563928136984,3365592.3654575343,480.6570999059754,770256.6979471233,53376.55099823835,1,0
5,"(1, 15)",30180.651659150688,4117814.386304109,23862.47500186301,3312094.6094547943,411.9676368572192,752513.6345260274,52803.1597302274,1,15
6,"(1, 30)",29843.87628909589,4082732.92790137,23533.7513049863,3272141.328610959,472.16795455553967,757194.2035931507,52935.41931192055,1,30
7,"(1, 45)",29719.476725013697,4053156.470260274,23384.786335753422,3240825.824219178,461.7935637972192,758498.1997052055,53380.3150723863,1,45
8,"(2, 0)",29489.79076164384,4030141.998934247,23124.661340136983,3211717.9655972603,482.8697407644055,764245.4515893151,53706.45242467945,2,0
9,"(2, 15)",28946.629910931508,3993198.5853123288,22646.01609073973,3182688.889745205,480.9786628542028,756768.127809589,53253.50611914521,2,15
10,"(2, 30)",28961.796056630137,3978360.596084932,22547.91720887671,3158430.3892356167,487.73304019056985,765630.8680558903,53805.07640272602,2,30
11,"(2, 45)",28906.917081150685,3980867.157789041,22404.702353369863,3148020.282778082,499.47183774566577,777525.7614764384,54814.9755777863,2,45
12,"(3, 0)",28950.84250219178,3983471.74019452,22317.133184739727,3135519.2131424653,505.6248884810794,791490.4187679453,55948.892094873976,3,0
13,"(3, 15)",29090.387021452058,4016163.754153425,22322.312134849315,3143069.3059232878,515.9234572798904,815288.1951123289,57275.85914605754,3,15
14,"(3, 30)",29142.21406465753,4007645.4669150687,22304.40969758904,3128465.926117808,525.5985361034602,820751.578470137,57885.69084557808,3,30
15,"(3, 45)",29331.29035961644,4037317.746041096,22331.944305863013,3136610.8213342465,537.1287260144932,840657.0473638356,59496.13138713151,3,45
