,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",143869.68070334248,14588447.61108767,35704.135637041094,5616487.901835617,1221334.6398032329,6998305.887523288,752319.5572910138,0,0
1,"(0, 15)",139193.21322150686,14171280.368506849,33947.93220347945,5401259.216134246,1201522.5223382192,6827590.180692055,740926.9469630411,0,15
2,"(0, 30)",140351.58368778083,14262014.459942466,33589.313618931505,5353805.850846576,1225850.4628754794,6927268.955647124,755107.5316463013,0,30
3,"(0, 45)",140110.2920980548,14226583.88581918,33179.8820170411,5295542.436443836,1231921.3567952604,6939492.628132603,759647.2588374247,0,45
4,"(1, 0)",140751.3486509041,14266471.854558904,32861.99981906849,5256574.0324328765,1245440.4122189863,6995561.744036165,768914.8585066849,1,0
5,"(1, 15)",139410.10432260274,14023915.235063016,31998.08366290411,5152951.030076712,1232204.8370752055,6879134.400337534,759623.8131395068,1,15
6,"(1, 30)",140749.89753547945,14135042.645315068,31915.31598578082,5134061.807939726,1251787.456961726,6975909.556800274,773282.4194639178,1,30
7,"(1, 45)",141358.62923156164,14169983.55120822,31794.51649189041,5114109.009739726,1261630.884502904,7014888.839497808,779354.408156274,1,45
8,"(2, 0)",142009.00644219178,14243003.04179726,31651.631332547942,5100216.483550685,1274405.7287318085,7079610.693579452,788770.2977160548,2,0
9,"(2, 15)",144246.10921767124,14327196.507150684,31736.93641049315,5098277.802841096,1296882.6214714795,7137496.172985754,794527.3650678355,2,15
10,"(2, 30)",145159.06260454794,14404131.882638356,31653.427745753423,5084314.383345205,1306567.6325984658,7208910.7845479455,804328.4440771233,2,30
11,"(2, 45)",146349.78592049313,14530166.931358904,31648.966564958904,5099770.157843836,1321700.4312871234,7293719.785961096,814967.2237558082,2,45
12,"(3, 0)",147175.5630868219,14624444.39430137,31652.705996575343,5103743.225813698,1331139.5793147672,7365184.315544932,824366.7462759452,3,0
13,"(3, 15)",149360.96887926027,14884031.713621918,32252.3902170411,5159070.583547945,1359656.134541781,7525801.85336,839491.3173125479,3,15
14,"(3, 30)",149843.62146082192,14944917.811849317,32197.83047142465,5157768.864068493,1365875.117346,7575035.170222465,846227.2975318083,3,30
15,"(3, 45)",151571.99336731507,15116424.056854794,32453.424632,5195546.082887671,1381109.0182103014,7681420.234007945,858337.7823608218,3,45
16,"(4, 0)",152695.68091558904,15226418.6514,32523.83500339726,5214693.10420274,1390257.8874644383,7753863.751530411,867594.1582306302,4,0
17,"(4, 15)",159306.59414035617,15712786.841756163,33869.87977876712,5362182.635315069,1434112.8201905205,8016313.730380548,900173.9967387123,4,15
18,"(4, 30)",159861.92325364385,15770007.964876711,34023.22234416438,5384005.668627397,1434770.6855141644,8048192.285858083,903033.6549120274,4,30
19,"(4, 45)",162292.15899536986,16014532.210473971,34369.17051145205,5458620.498145205,1452100.8385384933,8184490.230313151,919314.9903494248,4,45
20,"(5, 0)",163389.28901939726,16184542.179972602,34358.256704630134,5515781.837063014,1459910.4877246576,8278698.351146027,930147.106919178,5,0
21,"(5, 15)",168934.85426416437,16879859.6521863,36415.33412468493,5810062.504495891,1499282.147566,8596172.099633425,974319.1283526575,5,15
22,"(5, 30)",169772.54539460276,16984246.011443835,36334.00397580822,5866980.524309589,1496437.7408903562,8643736.858411508,977067.8364180274,5,30
23,"(5, 45)",171387.39547032877,17297610.920249313,36177.47655873151,6000597.951153425,1510360.039942657,8791812.612683836,994817.2605120548,5,45
24,"(6, 0)",171457.83467265754,17488386.352567125,35126.65914170959,6083962.51779726,1513179.6744190687,8886473.240699451,1004747.1342356164,6,0
25,"(6, 15)",177191.8661341096,18243983.171701368,37075.92789420548,6481283.090547945,1547627.6464956712,9173715.05575781,1041350.6886087398,6,15
26,"(6, 30)",174526.77920339725,18273111.74986028,34890.17807387069,6533644.113191781,1532884.2311872055,9167075.924789865,1039500.7445087944,6,30
27,"(6, 45)",172757.96774244384,18484298.252372604,32786.66655912548,6661302.346057534,1535159.542613863,9238758.519723289,1049070.2638004655,6,45
28,"(7, 0)",168690.3056373233,18533826.188835617,29241.669521452328,6710384.378210959,1525150.6476236987,9247899.87359041,1050384.3010606577,7,0
29,"(7, 15)",172133.02024772932,19127075.88647945,27667.27795280526,7068690.932019178,1540856.018669315,9445880.680563014,1071632.7397259453,7,15
30,"(7, 30)",164410.11258639727,18971897.759183563,22758.84317223561,7071326.141369863,1509831.6917693426,9332354.600167124,1058369.6328804658,7,30
31,"(7, 45)",158214.7467688004,18983520.20926301,17558.29158747156,7137141.489361644,1495476.0069282742,9296344.513882192,1054543.6937467123,7,45
32,"(8, 0)",149817.59002440696,18850957.036986303,11498.464137797644,7134592.23849863,1469477.9028516165,9203538.083936987,1043333.536556904,8,0
33,"(8, 15)",146069.4044102885,19169290.835347947,6622.474249454219,7372134.123715069,1465469.4020967395,9286921.932186302,1044750.761141589,8,15
34,"(8, 30)",135168.7781987222,18829396.998523287,-91.90165514575348,7335555.18920274,1420914.062286219,9055032.447153425,1017881.0701664384,8,30
35,"(8, 45)",127187.05901703423,18678808.073252056,-5782.826917785452,7358817.420621918,1392619.0515273423,8927414.52719726,999942.761879096,8,45
36,"(9, 0)",118013.29546633168,18415203.838887677,-11649.2732831943,7339880.46039726,1354103.9455588493,8744344.511389041,976860.4749647396,9,0
37,"(9, 15)",114284.75649440246,18564650.113101367,-16110.36073536285,7467811.010468493,1350898.451869644,8772579.6124,973361.1664346028,9,15
38,"(9, 30)",103973.46885836686,18171837.06610685,-22316.353058706576,7431301.376547946,1300696.377948548,8502297.846871233,937540.835004548,9,30
39,"(9, 45)",97236.19363870684,17968849.131772604,-26506.38711485315,7437246.447863013,1271429.6952824933,8344682.758964383,915490.0557771508,9,45
40,"(10, 0)",89936.4680723262,17671124.89368493,-30644.11490185589,7417556.882632876,1232532.4856259727,8132952.32069315,888080.8185335891,10,0
41,"(10, 15)",85874.56610614248,17719556.87550959,-34410.805769147206,7460519.45730959,1232369.2560920822,8141157.221709589,885501.0538898904,10,15
42,"(10, 30)",77888.91234731836,17324259.1049726,-38270.85306658576,7429264.29850137,1182551.657697863,7862281.415156164,850149.6959989315,10,30
43,"(10, 45)",73136.00114578904,17111428.947164383,-40647.706613031536,7425891.161501369,1156806.4698646574,7699807.500024657,828910.9440498083,10,45
44,"(11, 0)",67932.72275234494,16819893.271073975,-42746.91018551469,7407637.120021918,1120810.2442959726,7488494.661309589,802937.8588814794,11,0
45,"(11, 15)",67196.52867070328,16882195.519273974,-44405.57329734712,7459643.600416439,1119349.0614361644,7498053.94980274,805138.2002680548,11,15
46,"(11, 30)",61798.36757606658,16474324.108953424,-45749.572894657584,7423712.38500548,1074531.7631076712,7206467.862454794,769599.4030452055,11,30
47,"(11, 45)",59209.04138238931,16265486.363934249,-46394.9409349034,7413560.087128767,1053677.5732727672,7048325.527263015,749908.6483870959,11,45
