,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",22833.36626968493,6535790.944413698,3300.783698706849,1325910.9859378082,859907.5675483561,3477878.20704274,872098.7542366849,0,0
1,"(0, 15)",22697.381496153423,6283531.870501369,3137.361186019178,1235137.8338372605,835679.8389995069,3367426.1544145206,845308.7502094246,0,15
2,"(0, 30)",22776.45215420274,6344204.822408219,3078.623519208219,1219353.9041879452,853968.8078021643,3409941.360448493,860960.8561459179,0,30
3,"(0, 45)",22780.151100345207,6320261.962749315,3007.3693374821914,1197756.298788767,857159.0676988494,3402925.221165206,862442.3970026302,0,45
4,"(1, 0)",22786.260796545204,6332377.631626028,2972.633156010959,1182840.646990411,865819.1657210685,3415175.418485205,868564.2312484384,1,0
5,"(1, 15)",22302.47710930137,6147086.1665145205,2899.096972419178,1137881.643770137,854715.7697763835,3310385.9664767124,844101.455729041,1,15
6,"(1, 30)",22663.624384769864,6223289.156569315,2879.15201069589,1132886.3536309588,866617.8684231233,3363148.874565205,860632.2242310685,1,30
7,"(1, 45)",22668.91870329315,6228831.342542192,2863.5959223342466,1122883.036559452,873382.2288072603,3368814.5925591784,863748.3545682739,1,45
8,"(2, 0)",22812.284454953424,6262982.438920274,2836.068611356164,1117160.3039093153,881066.430707589,3393196.63884274,871556.3447987124,2,0
9,"(2, 15)",22411.12980961644,6228976.05161315,2814.299374887671,1101830.100551507,896534.0368939452,3356499.495588219,874099.845139589,2,15
10,"(2, 30)",22791.390056249315,6283836.686605205,2797.0695973945203,1100169.0327265754,901484.8473476986,3398582.9928613696,883588.3517463013,2,30
11,"(2, 45)",22901.80765887945,6326784.125672328,2805.667570139726,1099878.421092603,912141.7278718904,3423114.016883836,891637.4303924657,2,45
12,"(3, 0)",23057.08620999726,6364708.545693151,2801.426628852055,1099543.802690959,916981.0745655342,3449566.613587397,898603.9804054247,3,0
13,"(3, 15)",23308.53444159452,6480090.851855342,2846.9101104,1106583.0739627397,934222.3105833972,3516336.8690561643,922948.1017231508,3,15
14,"(3, 30)",23703.319263175345,6508432.766682739,2837.62422020274,1107139.629670959,937441.5438093698,3537452.734006027,926399.377413589,3,30
15,"(3, 45)",23830.35995947945,6575176.789251781,2845.359145158904,1114702.392178082,948734.067573452,3574978.1591123287,936762.6359523288,3,45
16,"(4, 0)",24016.479002936987,6613028.385652055,2858.2876145041096,1119603.860238356,954310.824027315,3597105.374993425,942009.0548966848,4,0
17,"(4, 15)",24087.083456893157,6794302.278154521,2961.3127019726026,1144686.4552975344,982302.3591015068,3685173.736827672,982137.370472822,4,15
18,"(4, 30)",24250.060854871237,6820966.547652877,2967.3792447424657,1151638.9667180823,982365.2584766576,3705496.639153424,981463.6383441644,4,30
19,"(4, 45)",24453.794316008218,6902988.267914247,2988.2244031397263,1166743.0568301368,993375.8977349316,3748960.682249041,993906.0640424932,4,45
20,"(5, 0)",24656.865209542462,6956727.106236713,2985.41833689863,1180144.4027449316,998248.7577243012,3778534.364523288,999797.47665737,5,0
21,"(5, 15)",24741.08243046849,7233953.238383562,3085.425742254795,1240451.8573057535,1030104.2479008492,3922098.2762063015,1041282.417912822,5,15
22,"(5, 30)",24914.487100041097,7260240.062821917,3052.250476605205,1254924.6853238356,1026937.2056516988,3937649.1788758906,1040712.1293180548,5,30
23,"(5, 45)",25117.62681670137,7372046.310589041,3017.3338578329312,1285983.154720822,1034777.3504088768,3998109.946013151,1053158.8035743015,5,45
24,"(6, 0)",25079.204320687677,7438707.09480548,2848.445154624244,1309061.2254249314,1034798.4532552054,4035640.278476164,1059190.5603398357,6,0
25,"(6, 15)",25498.20454345644,7733431.954676712,2944.7098116038987,1405653.1147928766,1060475.8130527125,4179941.148244384,1087359.46303463,6,15
26,"(6, 30)",25131.2242248126,7742637.128375342,2684.803729052044,1423756.374287123,1048956.4231201918,4184538.56262137,1085383.6692463562,6,30
27,"(6, 45)",25010.268922526306,7826631.4176657535,2427.033043022466,1459508.790169589,1048429.896268137,4227525.605840548,1091164.7070267124,6,45
28,"(7, 0)",24517.482055938217,7850362.173438355,2030.7156548840824,1476526.835737808,1039911.6059246302,4242481.644192329,1091440.3482991508,7,0
29,"(7, 15)",24629.8243702163,8116830.93079452,1868.8487510626053,1581129.9680164382,1055482.5385934522,4365033.879724657,1115178.9061007672,7,15
30,"(7, 30)",24048.996522008518,8056807.666457534,1341.667842701019,1587174.0191076712,1033450.5987769588,4332623.596724931,1103553.5213324383,7,30
31,"(7, 45)",23392.50689361028,8072450.121928767,776.4378699816028,1609434.5367868491,1024524.6445764932,4337159.616925754,1101325.0293870412,7,45
32,"(8, 0)",22314.89986029997,8026132.714372602,62.33911685868494,1612014.0659397258,1007367.7243528492,4313898.996365479,1092845.2288309864,8,0
33,"(8, 15)",21708.674565229725,8206447.82160548,-483.6086034002493,1690493.3886602735,1012419.9916177808,4390870.073533973,1112651.2865777807,8,15
34,"(8, 30)",20816.964552738737,8080258.935161645,-1198.5511664873452,1686015.07209863,983034.2490427396,4320730.203636439,1090466.4686461096,8,30
35,"(8, 45)",19754.873806321502,8033588.323550685,-1821.090564769315,1695818.227090411,967094.8903528769,4290135.906883013,1080524.409756904,8,45
36,"(9, 0)",18720.863243361964,7931030.6281671235,-2488.191356598381,1691772.8261917806,943022.7407231232,4233547.289589589,1062673.9513183287,9,0
37,"(9, 15)",17802.149136188273,8038776.404443836,-3108.825548637726,1736650.1496164384,948117.7698278356,4278584.314296986,1075429.073275315,9,15
38,"(9, 30)",16592.10890789663,7872723.292268493,-3804.674257117493,1728823.4444410957,914776.4550892054,4184919.980192055,1044207.0084652328,9,30
39,"(9, 45)",15699.915190040136,7795703.947706849,-4311.322455531151,1732484.641106849,898076.3906501918,4135563.067786027,1029583.2173314246,9,45
40,"(10, 0)",14763.978411822192,7669148.810076713,-4768.989871976849,1727658.7053643835,872478.9514820273,4061009.64046411,1008005.099067589,10,0
41,"(10, 15)",14526.766631140546,7749867.192934247,-5242.616707398411,1747180.3908684934,877843.7623809589,4106086.078280274,1018768.4655472328,10,15
42,"(10, 30)",13374.114697444267,7566247.613909589,-5649.637613038932,1736792.9790520547,846760.0946624109,3997098.8932120544,985605.2865525752,10,30
