,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",18314.22880793973,7770975.653920549,11830.238021821917,4709679.995852055,16535.457836661015,2734823.395891233,309932.3484718356,0,0
1,"(0, 15)",17722.20302559726,7522471.904419178,11413.044296734246,4505812.805772604,16604.353574061643,2693102.375889315,306956.9591192055,0,15
2,"(0, 30)",17649.315941128767,7505323.512594521,11270.325643958904,4448946.159550685,16906.891238398795,2725995.2654347946,313481.24884945207,0,30
3,"(0, 45)",17491.559761252054,7463018.407550685,11110.14569681096,4387684.135010959,17190.25682904937,2741347.181650685,316803.28520273976,0,45
4,"(1, 0)",17482.866674446574,7448696.280723289,11037.672236336986,4340650.973816439,17475.776736084026,2768992.2367561646,321583.2354872055,1,0
5,"(1, 15)",17364.856764134245,7321438.975534247,10855.7436170137,4249073.704016439,17553.372754485776,2735012.458986027,319809.0078061644,1,15
6,"(1, 30)",17303.849817553426,7340971.206931507,10732.721161331508,4220971.108323288,17773.37469540484,2775995.0871756165,326241.6345990685,1,30
7,"(1, 45)",17354.71431069315,7347443.060989042,10699.583708128766,4193784.113504109,18117.91715228107,2805031.6268139724,330520.36311358906,1,45
8,"(2, 0)",17385.840010709588,7371975.995169863,10661.98441041644,4174303.0574876713,18354.4407021106,2843320.237589589,336008.4389655617,2,0
9,"(2, 15)",17305.324846271233,7365205.630164384,10571.914327098631,4152590.865128767,18671.845112526385,2855710.479843561,338221.6372140274,2,15
10,"(2, 30)",17400.514674035614,7396696.957246575,10582.16874139452,4138583.4467260274,18869.54469904556,2895441.6674419176,343792.40062517807,2,30
11,"(2, 45)",17544.812258139726,7451945.161942466,10585.366860849315,4139097.181063014,19230.06829072096,2943527.7117953426,350079.43073284935,2,45
12,"(3, 0)",17631.734185410958,7499796.352567122,10571.40883709589,4135642.256126028,19483.211629493508,2988738.4456646573,355921.40218928765,3,0
13,"(3, 15)",17892.37437412603,7626679.163224658,10483.900698868492,4164501.461476712,20134.371944361345,3074721.7423745207,367307.32948547945,3,15
14,"(3, 30)",17993.338531476715,7656387.447802739,10551.4718358,4160722.1738328766,20295.09004200745,3104516.5252372604,370838.25597419176,3,30
15,"(3, 45)",18243.58624850411,7744815.103780822,10584.658378786302,4180755.744931507,20631.53198983701,3165272.1056534243,378141.1118300549,3,45
16,"(4, 0)",18341.739160315068,7802992.846720547,10606.456803715068,4189634.591594521,20885.59296872893,3208667.1879994525,383791.5085404384,4,0
17,"(4, 15)",18828.352562715067,8007652.268884932,10849.797144613698,4260771.172657535,22348.892019291237,3326262.492540548,398259.94920808217,4,15
18,"(4, 30)",19050.50668189589,8062645.204731507,10911.545859931506,4277782.639520547,22396.226319177094,3360861.90561726,401595.0897311781,4,30
19,"(4, 45)",19394.015432013697,8186374.510460273,11076.87822250137,4320638.535846576,22799.567553771238,3432764.942960548,410162.3620164109,4,45
