,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",54037.09029643836,1034326.8920465752,47074.8401750411,896869.7280915069,75.53385468078629,128868.33517317809,8515.57725858904,0,0
1,"(0, 15)",49175.99649068493,946307.5094079452,42580.14626493151,816017.2109536986,75.70357926376438,122011.79703920548,8202.675119052054,0,15
2,"(0, 30)",47569.46525230137,915609.845958082,41141.14042849315,788868.9053558905,70.69641247159726,118850.80637476713,7819.267871575342,0,30
3,"(0, 45)",45345.79424216438,877249.3584986301,39257.885213424655,754934.052870411,69.48151108169314,114800.81234841095,7444.719936290411,0,45
4,"(1, 0)",43760.46263457534,848431.0856838357,37902.27526816438,729542.249859726,68.50574054707671,111629.39927189042,7190.516839317807,1,0
5,"(1, 15)",39657.05707909589,780729.0662558903,34209.34480531507,668698.9440808219,62.7339382700685,105353.99655249316,6610.670788369864,1,15
6,"(1, 30)",38483.75279389041,757851.233129589,33248.6445709863,649456.9862063014,54.3421950188274,102089.03490441096,6247.709812263014,1,30
7,"(1, 45)",37212.653904246574,734202.3248569863,32240.75001761644,629715.575070411,51.14795117022465,98525.13771720546,5907.3995827835615,1,45
8,"(2, 0)",36104.99278821918,714048.6410690411,31290.89459923288,613091.252449863,48.14365109393698,95394.8497050137,5511.321899589041,2,0
9,"(2, 15)",34255.36462246576,682595.3458978082,29859.836630602746,588939.7201254795,38.91047830395068,88359.46871789041,5254.609678309589,2,15
10,"(2, 30)",33406.9464319726,666731.0002564384,29122.09859356164,574256.7681254795,37.89251964118356,87452.24319454795,4981.635003589041,2,30
11,"(2, 45)",32660.37776630137,651428.028080822,28410.31965446575,560030.740600274,38.907367658356165,86527.01131331507,4828.469747106849,2,45
12,"(3, 0)",31997.59996890411,638327.6888580822,27763.36018265753,547191.5997019178,38.81385388460822,86371.44288761643,4722.847009720548,3,0
13,"(3, 15)",31868.29841638356,628046.4482989041,27737.70689926028,538554.7241213699,33.83934886904932,84821.29190106849,4641.657613172602,3,15
14,"(3, 30)",31439.91337693151,620447.2506063014,27293.113894219176,529818.229869315,36.95777074152329,86016.78480909589,4579.917914830136,3,30
15,"(3, 45)",31034.187832958905,613238.9218293151,26848.047904520547,521370.5919432877,36.05782218464931,87316.37954213699,4521.483666065754,3,45
16,"(4, 0)",30666.969161315068,607120.7686430137,26435.771097452056,513522.19710602734,30.135153611079453,89059.41405975341,4514.691572095068,4,0
17,"(4, 15)",30723.63403624657,606513.9363827398,26347.808549150686,508922.81502986304,31.11306271447124,92968.50577063012,4589.488203876713,4,15
18,"(4, 30)",30366.802392109592,600201.9948578082,25874.332962712328,501867.6805153425,26.545080151408214,93688.15044076712,4617.263544186301,4,30
19,"(4, 45)",30203.394364438354,598320.212339726,25621.60059189041,496843.8792709589,29.746711784147944,96792.43365112328,4651.977956528767,4,45
20,"(5, 0)",29947.253918438357,594928.9223279451,25258.65151071233,490918.1492816439,32.632612924761645,99261.621284137,4714.36194710137,5,0
21,"(5, 15)",30546.49639775342,602648.6439172602,25365.588506575343,491704.6286339726,22.179483944545204,106111.03234432876,4808.828744234795,5,15
22,"(5, 30)",30333.28771682192,601063.1309230138,25093.379515315068,487275.5608443836,28.99451887826028,108722.96787339728,5033.33042839452,5,30
23,"(5, 45)",30474.354507397256,604031.3418684931,24977.88036857534,485249.7037219178,31.83959279869315,113524.10788331508,5223.994318802739,5,45
24,"(6, 0)",30493.85689210959,605416.0074986301,24809.461996575345,482189.61417095887,27.64372117428493,117750.79511317809,5446.446282164384,6,0
25,"(6, 15)",30934.643101863014,619189.3116947945,24506.646981726022,486213.6080550685,32.394842978136985,127119.47402638356,5822.769618087671,6,15
26,"(6, 30)",31038.2060089863,622201.5820178082,24528.723359726027,484791.5838947945,35.69115487484932,131255.09420347944,6118.487386917807,6,30
27,"(6, 45)",31591.823682,632688.1836778083,24602.09303649315,487009.3056169864,36.33155896804932,139087.4932749863,6554.7388592958905,6,45
28,"(7, 0)",32096.964671095888,642052.1075838356,24737.1258540274,488748.1200638357,35.65849310143014,146247.46921528768,7020.099944167124,7,0
29,"(7, 15)",34513.550123342466,679184.0219520548,25873.72133293151,507680.4779479453,39.077481070252055,163481.03672452056,7981.399757323288,7,15
