,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,hr,min
0,"(0, 0)",24519.75321594521,522579.2812260274,10843.859296309589,226511.78589561643,2168.7024085410903,239898.9204564657,54001.16875944383,0,0
1,"(0, 15)",23455.48871167671,495913.2485,9851.773576021918,205194.2750068493,2032.0599277440028,234564.42416180825,54122.50122805753,0,15
2,"(0, 30)",23645.158167435617,498396.46493972605,9682.636771350684,201928.3654704109,2141.318231849561,238827.08852769865,55499.78024367671,0,30
3,"(0, 45)",23565.26882638904,495808.4158523288,9439.47686760822,196671.47629972603,2188.5335497262163,240531.3824879178,56417.29889061644,0,45
4,"(1, 0)",23639.091631854797,495370.4591726027,9312.210817290412,193422.23798246577,2249.5941552750605,242263.58068515063,57435.150624123286,1,0
5,"(1, 15)",22417.73021002192,471856.7321778082,8436.667728813698,179238.70808539726,2009.6502560209588,234177.98655969865,56431.02247609589,1,15
6,"(1, 30)",22479.01069951233,474952.2610638357,8342.588221358905,177105.67648526028,2180.1260588435066,238110.6009704932,57556.71872296987,1,30
7,"(1, 45)",22463.719350630137,474252.75840712327,8205.626979953424,174141.59951219178,2225.9275884711947,239426.88742756165,58459.19331658082,1,45
8,"(2, 0)",22564.25715480274,475399.0411027397,8114.176418167123,172345.15921123288,2290.942212951025,241567.07824369863,59196.55097331781,2,0
9,"(2, 15)",20924.82792688493,458620.899270411,7246.17521330411,165513.49769550684,2291.6578557796547,233258.0136135617,57560.05955660822,2,15
10,"(2, 30)",21228.905943569865,464399.6680254794,7270.120311764384,164293.87051860275,2401.3090732522464,238848.52534956165,58858.59025222466,2,30
11,"(2, 45)",21194.558976021915,466981.45713561645,7179.759671427398,163172.2513409315,2468.7117012298986,241861.0600812877,59481.62022670411,2,45
12,"(3, 0)",21439.699597156166,472088.9117093151,7144.472227367123,162385.63932443835,2552.494987138244,246522.64273602737,60630.47270171233,3,0
13,"(3, 15)",20583.28277131233,468015.8024827397,6447.290139843836,159367.49283347945,2594.3127522885206,247321.43233164385,58731.56491632877,3,15
14,"(3, 30)",21056.521759558906,474029.6195731507,6654.081965391781,159112.9866030959,2677.1307660824987,251801.46742660276,60437.34654115343,3,30
15,"(3, 45)",21188.123828547945,479729.715450137,6564.647393221917,159249.4284250959,2749.1124582653424,256366.9929659452,61363.26159679452,3,45
16,"(4, 0)",21506.59810609041,485767.93808273977,6612.183349646575,159263.35460884933,2799.8099491450407,261207.6434200274,62496.38023666302,4,0
17,"(4, 15)",21853.84857393973,498116.2648172603,6526.271286126027,159774.2251688493,2757.283928975074,272378.86971673975,63205.36861247397,4,15
18,"(4, 30)",22171.70888777261,503133.4574183562,6612.362460263013,160279.80600463014,2850.2922222085563,275607.99440254795,64395.09788078356,4,30
19,"(4, 45)",22485.89902879178,511660.5893553424,6687.90070249863,161269.49297224655,2901.2692823186576,281684.41964117804,65805.29277232877,4,45
20,"(5, 0)",22764.300613046576,517064.07491068495,6740.151911728766,161798.2228521096,2968.5859787036493,285323.7946904658,66973.22186288492,5,0
21,"(5, 15)",23429.79400416165,532995.3453019178,6689.896127427397,165511.47706235616,2991.027728931562,295327.0983134246,69167.10786314246,5,15
22,"(5, 30)",23764.08688459726,539599.2974936987,6759.765187117809,166673.19048156164,3050.747840771581,299700.5698971507,70176.41173686027,5,30
23,"(5, 45)",24192.47697880822,550486.9663016439,6851.717258679452,168682.92830252057,3119.0858008930136,306872.87526830134,71813.70511683014,5,45
24,"(6, 0)",24470.84045757808,558663.8506709589,6880.662860284932,169930.11331035616,3196.069605098887,312624.64187901374,72914.73822390959,6,0
25,"(6, 15)",25193.23746567123,588985.3949235616,6706.378284126028,179701.13984438358,3256.169410090219,330158.1253639178,75868.96877380274,6,15
26,"(6, 30)",25536.361662572603,595988.1707227398,6853.306699356165,181174.99927643835,3331.890486719123,334499.4525083288,76981.14751641096,6,30
27,"(6, 45)",26083.52863509589,611045.2261726027,6929.895723830136,184726.62805178083,3405.167179424247,344202.8409382466,78709.72181275616,6,45
28,"(7, 0)",26586.68853140548,620950.4344161644,7044.5802488712325,186893.50491945204,3474.056112591836,350565.31081260275,80016.67108232877,7,0
29,"(7, 15)",28254.32392469589,662872.6822175343,7425.602254035616,201885.3457550685,3577.3645299918903,371856.4498812603,85551.99238737534,7,15
30,"(7, 30)",28562.27177830959,668956.6857895891,7526.501232249315,203263.91502602745,3629.675084803178,375668.1502004384,86393.5593821315,7,30
31,"(7, 45)",29179.383748446573,683860.2858967123,7577.750748786301,208244.19571835612,3717.61983082726,383500.2524014521,88396.6873904904,7,45
32,"(8, 0)",29390.835108953423,690864.9162216438,7517.613365704109,210581.23297424655,3771.762750136055,387065.7661538082,89444.74524079726,8,0
33,"(8, 15)",30356.607058057536,729305.4493123288,7787.295570783562,228465.11515150688,4180.4574049101375,403552.7832746027,93105.95857350684,8,15
34,"(8, 30)",30418.50267730685,729907.4324679453,7577.2638331013695,229273.3988879452,4145.457979795233,402781.6383714521,93705.5957160822,8,30
35,"(8, 45)",30440.929262964382,738090.5972383561,7281.529657886028,233989.63272493152,4250.854028993151,405359.7456382466,94489.14859441096,8,45
36,"(9, 0)",29870.01251377808,737323.577820822,6738.93793961855,234889.42075397263,4221.792436781918,403473.4999204931,94737.73561484933,9,0
37,"(9, 15)",29436.92573448767,765037.1203345206,6230.486030950576,248577.25142328767,4925.678189344109,414696.9454049041,96837.45304961644,9,15
38,"(9, 30)",28068.685670375344,750880.320639178,5165.088347158238,247500.7747528767,4642.01650375789,403481.7932854794,95256.2447980274,9,30
39,"(9, 45)",26629.107817887943,744043.492340274,4056.781730900698,248602.58960575343,4668.644599348493,396503.71583408216,94269.04866712328,9,45
40,"(10, 0)",24916.16918159403,728729.438870411,2723.639553478192,247225.38090958903,4480.860194163672,384982.8475644109,92040.53866027396,10,0
41,"(10, 15)",24025.67484798115,743676.8429013698,1703.6032903927232,257861.18465287672,4719.308845228877,388439.24026704114,92656.29166564385,10,15
42,"(10, 30)",21720.54887033001,722327.5306906849,-16.172361570739746,255601.23527698632,4440.168093898493,372667.0159913698,89618.40848109589,10,30
43,"(10, 45)",19594.93453684266,706194.5833465754,-1465.7065851943344,254683.21378465756,4268.467474519836,361013.7672135616,86228.02911547945,10,45
44,"(11, 0)",17292.403809048385,685198.1888082192,-3061.8083495427395,252217.29781753424,4008.605530411562,346503.8478393151,82467.17870356164,11,0
45,"(11, 15)",17814.495287225232,686046.3764356164,-3085.2121363085203,258920.01295753423,3716.220623744466,342147.9646196712,81261.95219991781,11,15
46,"(11, 30)",14999.70524816274,661904.1276057534,-5023.181662566794,256973.50914438357,3467.7879680409287,324398.08015975344,77064.49608999726,11,30
47,"(11, 45)",12905.016560950193,641976.4411353425,-6191.333114577064,255706.6179890411,3239.709236283901,309890.00442115066,73139.62718569863,11,45
48,"(12, 0)",10368.420859163178,619045.4735117808,-7641.487591732246,253970.1465745205,3017.99138527074,293092.9127408219,68963.70082492603,12,0
49,"(12, 15)",9540.74017408755,614785.1320208219,-8286.403212458252,257514.5220342466,2749.666541972822,285702.96037676715,68818.29021178081,12,15
50,"(12, 30)",7471.832125775069,592565.4480432877,-9503.107571238055,255295.9929819178,2544.3031028544465,269990.381555863,64734.79822997534,12,30
51,"(12, 45)",5483.750501127808,576534.0688961644,-10580.901699594246,254661.0750520548,2351.3738849252054,257988.66546526027,61532.97956987945,12,45
52,"(13, 0)",3624.397097458904,557244.018810959,-11577.564027525752,253054.36197671236,2168.46852688843,244423.50154564384,57597.480424764384,13,0
53,"(13, 15)",2722.4163175383565,556164.1054287672,-12133.025175077397,253716.7992575343,2107.7331782271235,242918.5371560548,57421.35121757261,13,15
54,"(13, 30)",1005.676667065589,537318.8943389041,-13033.950890518085,252154.8870561644,1926.3767271258605,229439.23949035615,53799.019977019176,13,30
55,"(13, 45)",-97.43629692794524,525038.8478199999,-13517.20259969115,251513.5436978082,1795.153962440712,220536.50704361644,51193.97452835343,13,45
56,"(14, 0)",-1180.970276115315,510120.7802879452,-14001.674914135672,250489.94048136988,1634.362181602685,209780.97007843835,48216.1561529589,14,0
57,"(14, 15)",-1457.0890356967673,507737.30279315065,-13996.063445041646,249886.54999643835,1564.340584730529,208208.0025044384,48080.71457556713,14,15
58,"(14, 30)",-2306.552597236219,492502.3569476712,-14242.888482574246,249770.34568520548,1445.938150040726,195893.6340989589,45394.9925954822,14,30
59,"(14, 45)",-2762.430297245507,483893.1026071233,-14254.375443250688,250685.88483589044,1350.8047028544054,188631.6573790137,43227.11314840822,14,45
60,"(15, 0)",-3262.306324385753,472721.864450137,-14191.407449163562,251472.96718109588,1263.6177877694302,179182.913177863,40805.00843857534,15,0
61,"(15, 15)",-3854.32899607874,464598.6869241096,-14155.934924168903,250063.8157690411,1170.4409364309506,173130.0392150411,40236.96670486027,15,15
62,"(15, 30)",-4112.385599307671,455675.0190641096,-13972.718698431232,251417.1974446576,1095.8945172050246,165173.8422929589,37990.69102496164,15,30
63,"(15, 45)",-3930.345389611096,451428.8934068493,-13405.923166284683,253266.188800274,1029.6778227387836,160727.19628227397,36408.58457153973,15,45
64,"(16, 0)",-3650.2887476947935,446745.23314054793,-12802.89289393611,255305.9979687671,984.5108647466136,155590.03251301372,34867.16477690685,16,0
65,"(16, 15)",-3294.5158896820467,445072.9311947945,-12281.905232592328,256966.32547726028,961.3425844329644,153412.63429643837,33733.873304821915,16,15
66,"(16, 30)",-2820.8921530136986,442334.9645671233,-11484.01588157041,259194.8024687671,931.168742169044,149891.52675553426,32318.654915175342,16,30
67,"(16, 45)",-1989.6334481544932,442869.3485369863,-10458.220880853698,261672.62265945208,915.9168596398082,148670.33214158902,31611.825714545208,16,45
68,"(17, 0)",-933.1016195003835,443685.7333043836,-9346.646490972164,264265.3170967123,895.7052476354193,147659.72627172602,30866.318362745205,17,0
69,"(17, 15)",581.5055800592055,452648.5424238356,-7979.558872208247,270513.0222928767,883.9678109935616,150634.02728438357,30615.454737446573,17,15
70,"(17, 30)",1678.2384162553697,454508.70653452055,-6772.758667044192,273090.28535397263,869.4986445767041,150350.26236556165,30196.775105904107,17,30
71,"(17, 45)",3048.0446900099178,458822.8975756164,-5405.674365014247,275620.6891008219,868.1948953872795,152096.45146375344,30236.04447419178,17,45
72,"(18, 0)",4621.420727189068,463176.4752213699,-3936.221051051534,278123.55359753425,878.4221137610849,153935.4505519178,30237.09353966301,18,0
73,"(18, 15)",6485.3633044830685,477006.6913890411,-2152.815359158384,285452.1482180822,886.5515907308986,159690.4180198904,30977.44849746301,18,15
74,"(18, 30)",8004.550929100547,481816.3518463014,-728.0853017888904,287630.76412931504,892.5815765568823,162292.85616835617,31000.08835636712,18,30
75,"(18, 45)",9919.268180129864,488941.5847958904,934.463182874063,289134.359240274,927.9369761554136,167083.36340679452,31795.519426761643,18,45
76,"(19, 0)",11812.551530075616,495505.524359726,2571.968023630767,290093.3519550685,947.2746912463124,171897.63461257535,32566.93612157808,19,0
77,"(19, 15)",13717.899128652056,503044.59677671234,4314.127195081562,295028.0788484932,982.1347205809316,173568.4570561096,33465.408871945205,19,15
