,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",386971.61484112905,53341788.265403226,42332.26093346774,7112029.965443549,6315798.492951613,36705741.03145161,3208205.3373387097,1,0
1,"(1, 1)",379683.4841935484,53072705.25588709,38752.180122661295,6784047.537766129,6355500.586411291,36709021.07,3224134.292032258,1,1
2,"(1, 2)",386483.2931935484,53561882.61766129,37191.188820322575,6719726.902701613,6491350.392032258,37079971.19290323,3270820.28641129,1,2
3,"(1, 3)",395038.8419870968,54580225.71056452,37695.84843153226,6782502.716653226,6658017.757483871,37798808.55580645,3340874.1012258064,1,3
4,"(1, 4)",407870.4048669355,56131340.36629032,39254.89096870968,6991341.302709677,6860392.054201612,38838011.79346775,3441570.361338709,1,4
5,"(1, 5)",422376.0902645161,58118058.93064516,41928.82770709677,7373148.062258065,7072120.814201613,40099289.91435484,3573478.118766129,1,5
6,"(1, 6)",441590.5982637096,60666896.74975807,47654.96450064516,8090098.88157258,7290323.53157258,41567385.54580645,3719070.321943549,1,6
7,"(1, 7)",453399.2840919354,62742573.58798387,50823.39915758064,8849404.337032259,7415890.159798387,42661669.45596774,3815590.868209677,1,7
8,"(1, 8)",427805.6114032258,63237399.15532258,32212.94200419436,9301320.615387095,7269699.185201613,42840118.8632258,3826264.115322581,1,8
9,"(1, 9)",382233.4450354839,61903803.59709677,3331.259952328226,9422505.576790323,6874540.339959677,41882458.34193548,3724296.710330645,1,9
10,"(1, 10)",342711.1065967742,59352291.25733871,-18981.161687040323,9252367.701733872,6412952.706491936,40135178.62846775,3551787.014508065,1,10
11,"(1, 11)",303686.17345161294,56244555.14241935,-34189.1528445758,8897545.340387097,5967192.104290323,38031170.83451613,3348635.038637097,1,11
12,"(1, 12)",281212.37707903225,53479369.50080646,-40421.530910483954,8583645.303346774,5623165.148814516,36105827.19943549,3166728.0756209674,1,12
13,"(1, 13)",265085.04125725804,50403420.65879032,-35598.44711356613,8125855.736935484,5244140.46867742,34069036.36919355,2964386.289451613,1,13
14,"(1, 14)",264209.67561774194,47698137.24548387,-20431.12225079113,7723784.480330645,4965896.316177419,32220559.54120968,2787894.7010241933,1,14
