,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",349691.6645048387,35933428.09717742,51544.99058169355,9965555.057169355,3476213.459524194,20138638.29144355,2353007.779968548,1,0
1,"(1, 1)",350486.25696370966,36206670.49854838,49783.80574911291,9863730.915774193,3523585.8328306456,20398970.64646774,2420372.7529258067,1,1
2,"(1, 2)",360640.3970967742,36944710.63217742,49734.6707275,9994938.88603226,3624675.896072581,20836511.446258064,2488572.444737097,1,2
3,"(1, 3)",368295.65842177416,38048936.39943548,51359.444024435485,10291646.568645164,3730008.575112904,21462423.847314514,2564837.012938709,1,3
4,"(1, 4)",384546.8588475807,39465859.03064516,54794.56451233871,10733169.609508064,3856355.147846774,22218236.32144355,2658081.900400806,1,4
5,"(1, 5)",400183.9501959677,41167752.6132258,57884.27144241936,11333598.13008871,3969012.49475,23086770.9715,2778345.699096774,1,5
6,"(1, 6)",418212.7305693549,43272384.89048387,65549.82883024194,12224092.183467742,4080489.6060887096,24065492.25153226,2902282.032064516,1,6
7,"(1, 7)",436619.4449548387,44992515.11637097,70852.61907491935,13091747.756564517,4139461.996379032,24773779.71129032,2987496.4453870966,1,7
8,"(1, 8)",411316.2741669355,44994137.79741936,50461.88583917743,13329812.891491937,4044671.308903226,24654069.67370968,2965580.1296370965,1,8
9,"(1, 9)",362503.7490056452,42947310.49104839,20949.790311895,12825849.47958871,3784704.999975806,23534735.490806453,2802016.079016129,1,9
10,"(1, 10)",312397.8011266129,40031583.15306451,-5831.907039720161,11990120.1405,3500429.009951613,21973588.18887097,2567433.994991936,1,10
11,"(1, 11)",269347.25961290323,36917134.83145162,-24706.16007409847,11102704.226435484,3222141.0866693547,20259055.79214516,2333206.971220968,1,11
12,"(1, 12)",244558.41045395163,34125574.853064515,-33609.504868025004,10312756.370508064,3004264.1191411293,18674182.633096777,2134352.743197581,1,12
13,"(1, 13)",224660.68537201613,31267693.205806453,-32700.334158212096,9475862.659870967,2778199.5502540325,17079277.133903228,1934342.440382258,1,13
14,"(1, 14)",219666.41976169357,28852492.242580645,-20027.220384285483,8769646.080620967,2613698.7711201613,15716404.70633871,1752734.8070193548,1,14
15,"(1, 15)",237006.8257344355,27641518.884112906,4403.679687011048,8478516.210120967,2557886.5558733875,14958376.095354838,1646739.7255185484,1,15
16,"(1, 16)",274065.9481582258,28122757.73185484,35971.56905237831,8798024.308185482,2624498.4562790324,15060999.772153225,1639226.8561064517,1,16
17,"(1, 17)",317682.5428741935,29940425.810564514,65356.36419951613,9679890.120419355,2756119.941539516,15791046.882596774,1713356.0416346774,1,17
18,"(1, 18)",336112.687175,32123641.66435484,73466.64596153227,10707914.628491936,2893803.0227846773,16690699.84582258,1831209.9839524196,1,18
19,"(1, 19)",345316.7997645161,33695732.5125,75470.83660282257,11354970.374467742,3018415.5694500003,17395015.417209677,1927313.4751620968,1,19
20,"(1, 20)",354045.1240233871,34817745.84129032,74740.83112379033,11597826.823725808,3145311.9182951613,18062689.17741129,2011920.4704032256,1,20
21,"(1, 21)",359065.35470725805,35735881.197661296,69751.86415403226,11526133.135096775,3252222.8616524194,18848132.63210484,2109388.5782693545,1,21
22,"(1, 22)",358190.03599032253,36164480.96290322,63003.225668306455,11122397.027056452,3342113.653812097,19493640.89642742,2206321.484145968,1,22
23,"(1, 23)",354108.1665314516,35944214.582177415,56497.96790306452,10410667.835306453,3408186.5854274197,19844490.037040323,2280864.855291936,1,23
24,"(2, 0)",243004.81408205355,23880816.75016072,39063.67511508929,6560421.619026786,2315920.2287383927,13531563.62917857,1472911.665511607,2,0
25,"(2, 1)",238687.8470807143,23490843.95455357,36541.62983839286,6249687.862169643,2319880.76641875,13431978.014464283,1489300.0228651783,2,1
26,"(2, 2)",245531.31423732144,23833616.229785714,35934.875463392855,6242262.402330357,2388037.717088393,13672749.126767855,1530548.8961848214,2,2
27,"(2, 3)",250727.224234375,24604401.020303573,36909.664654375,6411555.553044642,2457977.9371410715,14146980.446482142,1587858.3869633928,2,3
28,"(2, 4)",263607.88340169645,25700812.143303573,39586.72350151785,6722297.4041428575,2554552.9189633927,14762310.432473214,1661649.059167857,2,4
29,"(2, 5)",277166.6933866072,27136556.150267854,42309.61429116072,7205852.769991071,2649641.4664375,15517484.550232142,1763574.71128125,2,5
30,"(2, 6)",293426.87318482145,29057620.110535715,49151.03686482143,8004177.862464285,2752405.4455000004,16428674.297080357,1872334.287483036,2,6
31,"(2, 7)",305612.49077499995,30482348.76366072,50553.38186294643,8769016.841446428,2782954.230302679,16990505.97607143,1939842.5750848216,2,7
32,"(2, 8)",282866.92363875,30478901.6175,33729.59159954107,9054360.6795625,2679809.862225893,16825740.511678573,1918975.3568928568,2,8
33,"(2, 9)",247945.0583111607,29317372.598839287,11753.523619775891,8920905.33374107,2502654.1009598216,16079174.210116072,1814638.2561919645,2,9
