,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",24722.07830564516,2970774.895475806,11557.559571016129,1308923.501653226,71529.86973919354,1493161.5193717745,97158.81033282258,1,0
1,"(1, 1)",24324.52512572581,2879347.819733871,10783.34956310484,1213713.8266241937,74955.78738548387,1496479.7499491936,94196.02582459676,1,1
2,"(1, 2)",23738.76806217742,2669670.0467580645,9850.723387943548,1065384.35845,76247.99287967742,1439006.4972217742,89031.1776957258,1,2
3,"(1, 3)",22071.8315525,2454981.563435484,8883.427565911292,949480.4682483872,71243.6398514516,1352664.4211032258,81596.89020540322,1,3
4,"(1, 4)",20824.913290806453,2318490.245483871,8334.948099790323,887096.8050637097,69841.11196774193,1285643.471144355,75910.46863112904,1,4
5,"(1, 5)",20632.055127177417,2373111.8018467743,8791.558373032258,890455.441416129,74370.58027435483,1328005.8391274195,80273.84216709677,1,5
6,"(1, 6)",20775.612150725807,2471479.346241936,8694.762595427419,913870.0473556452,76167.31584169355,1396521.9270201614,84914.32874854839,1,6
7,"(1, 7)",22906.276387580645,2657036.4718870968,9565.110331443548,979364.092303226,79817.26096056451,1507202.5408241935,90652.4813216129,1,7
8,"(1, 8)",23723.70760806452,2898932.0027258066,10266.07766075,1075061.7101951612,89119.96381403226,1636239.2097903225,98510.05758814517,1,8
9,"(1, 9)",27096.86588120968,3169540.1657580645,11212.722049999998,1204258.380175,93787.72825879032,1763489.9804274195,107997.55587919356,1,9
10,"(1, 10)",28455.05535709677,3381133.5188467745,12014.466650145165,1307193.168983871,94539.37693338707,1862601.551967742,116795.86658354838,1,10
11,"(1, 11)",27188.666721532256,3486978.4335645163,11485.545121830646,1356341.302717742,93159.33815516128,1919567.2067096771,117911.29415290324,1,11
12,"(1, 12)",25770.90384153226,3463902.399370968,9978.711107032255,1350957.0920080645,97329.74479733872,1899199.63575,116413.76242830644,1,12
13,"(1, 13)",23174.518655798387,3341026.892387097,7783.730991291935,1307658.3124919357,91349.92278032258,1825480.821701613,116534.86868806453,1,13
14,"(1, 14)",21864.082899435485,3171318.422120968,5842.797077385726,1242229.6682564516,86003.35917701613,1732823.8361693549,110257.82060233872,1,14
15,"(1, 15)",20221.63786920968,3036409.6467338707,4869.992775043064,1190631.2116056453,83568.6937483871,1654181.9504346773,108026.3754492742,1,15
16,"(1, 16)",18343.57230231452,2765444.1273951614,4267.500519264032,1098714.118083065,75916.27145895161,1491593.550817742,99218.004225,1,16
17,"(1, 17)",17551.82460114516,2551744.8973467746,5005.400638577903,1035635.6892282258,67563.64535854838,1357542.701707258,91001.93627475806,1,17
18,"(1, 18)",18262.45633198387,2524369.9301048387,6386.654574644354,1051401.6556451612,65430.83396040322,1318972.654167742,88567.12434661291,1,18
19,"(1, 19)",20721.05584569355,2654340.8594758064,8767.72799508871,1146740.609142742,67320.17784266129,1348329.792791129,91950.25787225804,1,19
20,"(1, 20)",22906.222594435483,2843353.881701613,10769.497326241935,1279620.3398387094,67402.20601330645,1399654.312625,96680.61387758065,1,20
21,"(1, 21)",24160.350897580644,2963452.256903226,12123.61892008871,1369575.4536612905,68149.18610362904,1429538.0314379032,96192.98067290324,1,21
22,"(1, 22)",24797.02519540323,2982746.8914112905,12309.485715483872,1381957.6586774194,69509.5301810484,1436789.266110484,94490.47409540325,1,22
23,"(1, 23)",25225.787169516127,2962838.1970080645,12058.511062209676,1350461.551362903,68969.90959862903,1448879.1212201614,94528.8780510484,1,23
