,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",409486.5448935484,5381650.609177419,158254.23287096774,2166990.543967742,4425.613723370968,3050528.760298387,159696.8822835484,1,0
1,"(1, 1)",403092.5509532258,5264819.675024193,137096.3114314516,1884845.6787096772,4723.897926491936,3209367.9394919355,165873.0762080645,1,1
2,"(1, 2)",376516.8768096774,4964649.235943548,114026.3751,1596507.906532258,3995.620794080645,3198804.421322581,165336.3558951613,1,2
3,"(1, 3)",352977.6693491936,4718424.864129032,101960.85395387096,1460589.886685484,3765.0768728870967,3093190.7212258065,160869.57070725807,1,3
4,"(1, 4)",347132.4923798387,4713879.832927419,99590.27027443548,1436608.0576048389,3983.844030653226,3109064.264056452,164222.93642258065,1,4
5,"(1, 5)",364541.7047782258,5038216.11091129,102700.8902966129,1482801.0214112904,4276.08791416129,3374563.778266129,176544.8857532258,1,5
6,"(1, 6)",393298.55350403226,5492884.402362904,106527.253495,1568564.0487096773,4339.910429193548,3729890.86066129,190060.8343016129,1,6
7,"(1, 7)",443950.0690032258,6157232.8193225805,117030.79528443547,1712559.315096774,4560.673668096774,4231904.83016129,208189.99500403224,1,7
8,"(1, 8)",502183.3633830645,6968423.295733871,129457.25566048388,1902941.6015483872,4936.172670620967,4832696.678298387,227824.1830322581,1,8
9,"(1, 9)",569915.9248080646,7870050.165774194,146219.6009983871,2148494.882298387,5125.243545516129,5466327.530854839,250070.0765064516,1,9
10,"(1, 10)",579947.4049596775,8173075.187717741,139505.94654016127,2323189.4633870968,5263.440679443548,5589154.403241935,255449.86272822585,1,10
11,"(1, 11)",475015.1112846774,7645192.927024193,66818.65586891693,2339816.676185484,6162.940128782258,5066881.633233871,232318.47384274192,1,11
12,"(1, 12)",331039.9529202419,6716556.114596775,-18307.701612840323,2268796.8207177417,5441.598347701613,4244153.161395161,198142.7081532258,1,12
13,"(1, 13)",196880.0278346452,5871155.808048387,-100519.14927807258,2149165.0345403226,4426.795462830645,3546840.2725483878,170704.74534032258,1,13
14,"(1, 14)",100843.3400694363,5159110.323806452,-153812.5444665968,2034066.341233871,3480.716593620968,2977191.6612258065,144372.09348346773,1,14
15,"(1, 15)",56838.373692571775,4669198.267201613,-163762.90867317742,1993707.069298387,2695.4670290241934,2547284.172532258,125510.61485032258,1,15
16,"(1, 16)",35444.28374478225,4154542.582306452,-146599.12378889517,1937483.7287258063,2317.9605000298384,2110569.9165564515,104158.53989169357,1,16
17,"(1, 17)",57609.77429923388,3880782.2348225806,-97991.6295547984,1940533.2242903227,2024.7082751387093,1847417.6230887095,90795.74820274196,1,17
18,"(1, 18)",129558.3500671371,3951103.0500403214,-21575.835666562096,2028586.709451613,1944.441554855645,1832426.532306452,88126.11348887098,1,18
19,"(1, 19)",239074.58652524196,4299427.042548387,74181.70765912098,2171460.5382903228,2095.36828336371,2031290.4769516129,94565.92229709678,1,19
