,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",0.0,2224503.9341209675,0.0,405870.0695435484,194141.3703814516,1006175.1624548387,618316.8298008065,1,0
1,"(1, 1)",0.0,2181738.5591612905,0.0,380723.4087185484,194514.258675,990707.062133871,615788.7874983872,1,1
2,"(1, 2)",0.0,2175524.6691693547,0.0,370509.4302314517,197285.61226129037,992780.6434395162,614948.173583871,1,2
3,"(1, 3)",0.0,2214423.987217742,0.0,373439.2779717742,202362.7861951613,1007571.7901564516,631045.1286862904,1,3
4,"(1, 4)",0.0,2257400.3932822584,0.0,377852.1293491936,203085.8075870968,1035471.4989556452,640985.7150516129,1,4
5,"(1, 5)",0.0,2330739.64058871,0.0,389491.0234645161,208649.9789346774,1064665.960364516,667933.024785484,1,5
6,"(1, 6)",0.0,2416022.115830645,0.0,407791.8516782258,215646.49061129036,1100331.3226991936,692252.4738637097,1,6
7,"(1, 7)",0.0,2503929.4965,0.0,439385.2760967742,222638.4693306452,1136774.139119355,705126.3876629032,1,7
8,"(1, 8)",0.0,2562566.6064193547,0.0,466844.9773870968,223327.4108532258,1160614.3444854838,711773.7477024194,1,8
9,"(1, 9)",0.0,2574920.257822581,0.0,474840.1805306451,218846.1964306452,1166718.3904637096,714515.8702596774,1,9
10,"(1, 10)",0.0,2532166.6247903225,0.0,472754.7529798388,210911.6703185484,1148050.2850314516,700451.6460935484,1,10
11,"(1, 11)",0.0,2428046.887120968,0.0,460314.9597741936,200397.77550725808,1097629.183557258,669701.9949048387,1,11
12,"(1, 12)",0.0,2307845.456919355,0.0,440074.9921491936,189284.53963790325,1045703.919442742,632775.5054306452,1,12
13,"(1, 13)",0.0,2222927.165709677,0.0,427414.6195395161,185069.2246016129,1001964.8964935484,608474.0639983871,1,13
14,"(1, 14)",0.0,2101989.470596774,0.0,404900.3289798387,178667.71273709676,944321.0332088708,574096.5018483872,1,14
15,"(1, 15)",0.0,2008731.538120968,0.0,389113.8048233871,171666.2526321774,899334.5025717742,548612.458532258,1,15
16,"(1, 16)",0.0,1998953.301629032,0.0,392144.5645677419,171744.893535,889857.3577943549,545204.2818596774,1,16
17,"(1, 17)",0.0,2063289.6033387096,0.0,419629.5197282258,175662.92411798387,912203.7203056453,555792.5615943549,1,17
18,"(1, 18)",0.0,2153069.353790323,0.0,456677.4861048387,180982.37581137096,942922.0195967742,572488.1544322581,1,18
19,"(1, 19)",0.0,2213406.9787338707,0.0,480367.8187120968,185357.86146612905,960736.7437766128,586944.4373951614,1,19
20,"(1, 20)",0.0,2239629.460983871,0.0,486605.5861411291,188493.0368645161,974867.6638306451,589665.1015217742,1,20
21,"(1, 21)",0.0,2257816.338669355,0.0,483730.2627951613,190282.5160435484,989298.8372782258,594505.608233871,1,21
22,"(1, 22)",0.0,2272620.941185484,0.0,468139.71635080647,189531.3005701613,1007608.2901637095,607341.3469766128,1,22
23,"(1, 23)",0.0,2269736.606403226,0.0,440961.3576298388,193263.42264596772,1017238.6067201612,618273.0527919355,1,23
24,"(2, 0)",0.0,2298082.037267857,0.0,421321.4155482143,186277.66457767857,1046719.8899758928,643763.8468982142,2,0
25,"(2, 1)",0.0,2273618.6191696427,0.0,398907.8643883928,187677.94465714289,1039221.385188393,647808.3055383929,2,1
26,"(2, 2)",0.0,2275882.162276786,0.0,390526.3999428572,190770.08158392855,1044795.2132044644,649789.4956160715,2,2
27,"(2, 3)",0.0,2330750.8732321425,0.0,396892.2123464285,196158.7308767857,1067154.9279776786,670541.7654839286,2,3
28,"(2, 4)",0.0,2395085.885696429,0.0,404561.5867883928,197873.19279107143,1105560.4569580357,687086.4151017858,2,4
29,"(2, 5)",0.0,2489206.974946429,0.0,420139.0184714286,204582.0109535714,1144565.9827758928,719923.4414294643,2,5
30,"(2, 6)",0.0,2596941.016125,0.0,441992.3087348215,212706.17967589287,1192026.0916392857,750218.6329357142,2,6
31,"(2, 7)",0.0,2700803.7981696427,0.0,476508.8715214286,219725.65629732143,1235560.2305276785,769004.9194169643,2,7
32,"(2, 8)",0.0,2761450.8870446426,0.0,504126.9574598214,219546.62526607144,1261397.726157143,776376.0652383929,2,8
33,"(2, 9)",0.0,2732975.370071429,0.0,506774.3098535714,211710.616375,1247549.435325,766941.1142124999,2,9
34,"(2, 10)",0.0,2621524.3612410715,0.0,494699.649175,199097.67565982143,1195904.6211419643,731824.2103071428,2,10
35,"(2, 11)",0.0,2471040.559589286,0.0,474534.9697803572,186156.3741008929,1124116.4433339287,686230.9743428571,2,11
36,"(2, 12)",0.0,2324947.6232232144,0.0,449840.6742035714,174215.913615,1059891.6380705356,640994.7322160715,2,12
37,"(2, 13)",0.0,2219101.392482143,0.0,431998.2171508929,168853.47006339286,1007212.9293160714,611032.9962169642,2,13
38,"(2, 14)",0.0,2076643.2433008929,0.0,406677.39892232144,160643.64182473213,938705.2958633928,570612.6121598214,2,14
39,"(2, 15)",0.0,1963786.8115732144,0.0,388732.2588598214,152047.86361232144,883729.5925473215,539274.2174107142,2,15
