,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",41368.02206459678,18216786.225298382,19238.593817491936,7651971.06567742,61971.56207704839,9346404.31958871,1156429.267698387,1,0
1,"(1, 1)",42520.12361814516,18650046.99455645,19255.031389201613,7639704.757564516,64864.57531298387,9728270.15282258,1217189.6429346774,1,1
2,"(1, 2)",43926.61562193549,19247641.422370967,19877.76111110484,7813236.65658871,67490.43531209677,10095828.789411291,1271064.2918532258,1,2
3,"(1, 3)",46144.48593693548,20135217.13044355,20607.206171362905,8142053.284548388,70727.860075,10587314.30685484,1335094.8641540322,1,3
4,"(1, 4)",48839.95926096774,21113705.899596777,21778.239619362903,8541766.81751613,74443.74797165323,11094763.436580645,1402702.6006725803,1,4
5,"(1, 5)",51744.95184467742,22333010.68087903,23299.52534048387,9076773.615975806,79457.18293967743,11704784.64207258,1471964.1939266128,1,5
6,"(1, 6)",55376.51047072581,23792797.886701614,25231.53164967742,9805837.117193548,83304.13690314516,12359866.741274193,1543753.5278403226,1,6
7,"(1, 7)",60317.20179185484,25210458.708580643,29207.97311766129,10607610.200250002,84046.49476540323,12913279.123080648,1605486.1410758065,1,7
8,"(1, 8)",58404.73873669354,25514988.00991936,27181.229143951616,10880400.226620968,80673.8870208871,12957407.315241937,1596488.293241935,1,8
9,"(1, 9)",48301.58508548387,23952773.83419355,18167.47651351613,10281936.926064515,72403.10366879033,12139982.498645162,1458448.3534693548,1,9
10,"(1, 10)",35999.020289258064,21441938.23028226,9248.057343993549,9312288.340298388,61437.97666380645,10804102.674298389,1264094.088076613,1,10
11,"(1, 11)",25638.59365837661,18827300.518145163,2266.9262219656453,8309592.470419355,51952.547129862905,9390660.594225807,1075059.531792742,1,11
12,"(1, 12)",17521.638455009775,16457950.029435484,-2301.361547962419,7429000.856443549,43432.487717427415,8067185.765822581,918297.9101,1,12
13,"(1, 13)",12101.859080658389,14477703.350169357,-4641.184826127661,6676943.846685483,37632.11155158871,6972059.15042742,791048.5765040322,1,13
14,"(1, 14)",9250.662825229838,12713592.966096774,-4711.684003961291,5999813.024967741,33268.146858379034,5998339.835854839,682149.3929024193,1,14
15,"(1, 15)",10738.698858436292,11628118.90785484,-1845.5264842356453,5624740.85442742,32727.903073725804,5359638.953443549,610993.9130822581,1,15
16,"(1, 16)",15182.984637815323,11491243.871725809,3054.11757642121,5688647.873153226,33027.56072708064,5177051.471629032,592504.2285887097,1,16
