,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",43329.56078556452,1008558.8762846774,13697.972338951611,282449.2689,5113.595543032257,603406.5711709678,117588.34392862904,1,0
1,"(1, 1)",43472.303467096775,1008182.8919741936,12590.014019951614,259551.34518467743,4892.16160267742,619605.4128120968,124133.92328241936,1,1
2,"(1, 2)",41659.64961185484,997724.3380314516,11232.879457080644,244682.77679435484,5110.2019764354845,621508.4293991935,126422.1874985484,1,2
3,"(1, 3)",40704.69138693548,1019176.5054854838,9920.271615540323,241608.3495016129,5564.580514516129,646001.8728903226,125999.17627629032,1,3
4,"(1, 4)",41641.03421129032,1074117.1034790322,9484.941534056452,246868.4739185484,5826.764723008065,691714.5689556452,129706.72218314516,1,4
5,"(1, 5)",43898.09592822581,1137513.1228056452,9825.951823056452,256596.9250508065,6000.420908169355,737836.9795411291,137078.74831153228,1,5
6,"(1, 6)",45766.09238806452,1215914.9260225806,9780.829537169357,277975.97068951617,6289.583685,788594.5362669354,143052.81843387097,1,6
7,"(1, 7)",49659.94223693549,1325514.4593508064,10495.623718693549,307728.88113225804,6592.234887629032,857650.8450322581,153539.64139919356,1,7
8,"(1, 8)",54091.41258104839,1432679.8583661292,11677.656553104838,344189.8067241936,7017.233036282259,916231.046639516,165240.03010887097,1,8
9,"(1, 9)",56592.60221435484,1502803.819796774,12531.37144992742,371014.7244637097,8107.373099564516,950876.6192887096,172802.61559274196,1,9
10,"(1, 10)",54496.12830370968,1467335.1916491934,10597.73466278226,373388.88934112905,8803.308912959676,911065.5318137098,174077.95568790322,1,10
11,"(1, 11)",47963.10915008065,1331793.3078,5692.289221012903,354789.9783193548,7904.418932120967,807551.8371016129,161548.0453919355,1,11
12,"(1, 12)",38690.5100358871,1141686.3387629031,1071.3574825941937,325996.55107096775,6364.381212008065,666084.8243233871,143239.23798064515,1,12
13,"(1, 13)",27667.75019526613,969621.2642145162,-3778.798123510242,293393.3231580645,5044.568796064516,550187.3149354839,120993.8189157258,1,13
14,"(1, 14)",19577.418179442742,827141.1453524193,-7009.22417763871,261402.70819758065,3929.817076935484,459936.3572120968,101870.04962693548,1,14
15,"(1, 15)",12680.995542316936,687382.293191129,-8821.264333423387,230910.191,2938.931683195968,368586.70282580645,84944.1806891129,1,15
16,"(1, 16)",9479.05100216446,589005.574158871,-8247.279098829838,210062.7576717742,2316.6374096274194,306509.59396290325,70113.61250443548,1,16
17,"(1, 17)",11448.566034706611,548008.265766129,-4875.061904972581,205753.19079677417,2052.3626954717743,279486.25745806453,60713.96924427419,1,17
18,"(1, 18)",16608.460585225806,573159.5484169355,699.5282118117742,221049.6886451613,2070.2095366153226,290793.6797290322,59245.56324854839,1,18
19,"(1, 19)",24641.071066814515,653041.293991129,7369.325715745162,249381.1455483871,2275.198127264516,336387.1837895161,64997.1687691129,1,19
20,"(1, 20)",32223.534953225804,750074.0342,12224.845304612903,280907.5524016129,2859.7774576241936,390965.9812088709,75337.92530330645,1,20
21,"(1, 21)",35654.24422435484,838312.866166129,13240.15141016129,301003.06935161294,3504.132203153226,447531.8469241936,86270.8237301613,1,21
22,"(1, 22)",38024.470227741935,902956.819016129,13778.350071854838,307960.35057258065,4109.013416879032,495407.4838919355,95478.8838439516,1,22
23,"(1, 23)",40514.64364540322,947869.606825,13986.639370080646,296354.2593548387,4694.130109677419,542180.1831024193,104641.71681830644,1,23
24,"(2, 0)",40491.83985508928,859125.9701946428,13852.821118732145,262557.0984830357,4770.545283125,478906.2793678572,112892.54421892855,2,0
