,timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total,month,hr
0,"(1, 0)",160313.0561201613,5613281.308330646,37331.85131774194,1534323.4000483872,50597.32201604839,3748486.2951370967,279870.2701314516,1,0
1,"(1, 1)",155600.13663653226,5491620.574604839,32499.187725080646,1373093.4160967742,53727.97247153226,3779036.8601451614,285760.0012532258,1,1
2,"(1, 2)",148788.51997532256,5244985.123419355,29007.42029556452,1239994.1975983873,55113.4798725,3670180.185935484,279694.68653951614,1,2
3,"(1, 3)",146665.60371000002,5131914.909419355,27727.34588,1170726.6481120968,54064.679516451615,3631477.273645161,275645.4639870968,1,3
4,"(1, 4)",149011.6341020161,5272370.799580645,28522.412350564515,1168076.4461193548,54111.21201080645,3764801.535548387,285375.0128548387,1,4
5,"(1, 5)",152032.01767887097,5504660.132838709,29126.966625403227,1206737.707960484,56118.06257145161,3948366.223282258,293429.15331370966,1,5
6,"(1, 6)",164161.35263346776,5829876.458217742,31252.45904564516,1271655.063257258,57307.38062,4193476.0659274193,307433.13336370967,1,6
7,"(1, 7)",176807.37383467742,6261886.266,34931.20043354839,1371866.218064516,60655.52435854839,4499112.642895161,330247.0068830645,1,7
8,"(1, 8)",192872.76990645163,6707677.082217743,38826.50457983871,1512793.8446290323,64283.78155387097,4773322.389572581,357271.2212540323,1,8
9,"(1, 9)",203603.81865080644,7046973.332024193,41345.69812185484,1652558.4574032258,68143.12403854838,4949362.186064516,376899.1343290322,1,9
10,"(1, 10)",195149.0725217742,6994850.218362903,34585.26941733871,1697923.3760241936,68495.10842806453,4857490.898225807,370936.10503387096,1,10
11,"(1, 11)",167150.30021935486,6573146.453782259,19546.494643217746,1657814.611983871,66557.50150516129,4508009.892903226,340762.65399596776,1,11
12,"(1, 12)",137571.37343129033,6012805.517709677,5017.536479353226,1581190.5405,62806.11735870968,4063888.211927419,304912.245025,1,12
13,"(1, 13)",114948.4999135484,5445376.058580645,-6435.811075570968,1485239.4681612905,55093.05895741936,3634086.573314516,270949.0762709677,1,13
14,"(1, 14)",98373.14062774192,4977557.361830645,-12609.903911285484,1393831.9939919354,48677.55277741936,3287382.5939516127,247661.4894701613,1,14
15,"(1, 15)",79600.58545233871,4387126.878258065,-14243.997299067742,1288578.1621693547,43729.59590379032,2840435.528919355,214375.78019274195,1,15
16,"(1, 16)",70486.54315596774,3896477.0002096775,-10112.824350824192,1194074.5801943548,37895.63659064516,2481067.8052016133,183433.4041822581,1,16
17,"(1, 17)",76556.25119443549,3714422.855943549,-324.21147357895154,1179794.0015580645,33923.62540604839,2332730.726830645,167970.47890967742,1,17
18,"(1, 18)",94893.55312274194,3862630.082548387,15874.255644460483,1266677.5311645162,33135.5041858871,2392318.9870887096,170493.9069951613,1,18
19,"(1, 19)",120962.1099542742,4303193.063669355,33677.34255790323,1432767.6957338708,35029.41307362904,2644683.9255000004,190710.18554758065,1,19
20,"(1, 20)",137725.29199854835,4732371.449370968,40790.51514169355,1590120.8575725805,38157.11118314516,2891826.096354839,212265.4315637097,1,20
21,"(1, 21)",145256.44607104838,5064586.901185484,42933.52691266129,1678755.396612903,42466.26720104839,3114183.880427419,229179.51573548387,1,21
22,"(1, 22)",151300.79391903226,5271760.444008064,42447.89997120968,1687490.3841774194,44541.78111620968,3296603.062612904,243127.34628225805,1,22
23,"(1, 23)",155767.27866451614,5433408.437088709,40127.81427629032,1632268.6693467742,47680.67971314516,3494109.562314516,259350.12887903224,1,23
24,"(2, 0)",160123.8963007143,5617118.101508928,38105.99291214285,1543789.629553571,53497.13673276786,3745786.934785714,274042.60029642854,2,0
25,"(2, 1)",155749.31481339288,5531603.461223214,33125.686586875,1384009.2637464288,58183.34732866071,3806483.7392857145,282928.3852482143,2,1
26,"(2, 2)",152995.99859776787,5403026.029250001,30112.394238482146,1268019.60603125,60864.67427848215,3790913.7845625,283230.40730089287,2,2
